id,StreetNameShort,StreetName,StreetNoMin,StreetNoMax,EvenOdd,BeatNo,TeamNo,Postcode,Suburb
1,SUSAN AVE,SUSAN AVENUE,1,15,1,1011,1,2211,PADSTOW HEIGHTS
2,CONNOLLY AVE,CONNOLLY AVENUE,11,29,1,1011,1,2211,PADSTOW HEIGHTS
3,JASMINE AVE,JASMINE AVENUE,1,9,0,1011,1,2211,PADSTOW HEIGHTS
4,HENRY KENDALL AVE,HENRY KENDALL AVENUE,33,59,1,1011,1,2211,PADSTOW HEIGHTS
5,GWEN PL,GWEN PLACE,2,5,0,1011,1,2211,PADSTOW HEIGHTS
6,VERA PL,VERA PLACE,2,8,2,1011,1,2211,PADSTOW HEIGHTS
7,VERA PL,VERA PLACE,9,15,1,1011,1,2211,PADSTOW HEIGHTS
8,OATLEY PL,OATLEY PLACE,1,2,0,1011,1,2211,PADSTOW HEIGHTS
9,OATLEY PL,OATLEY PLACE,3,11,0,1011,1,2211,PADSTOW HEIGHTS
10,VERA PL,VERA PLACE,1,7,1,1011,1,2211,PADSTOW HEIGHTS
11,HENRY KENDALL AVE,HENRY KENDALL AVENUE,32,52,2,1011,1,2211,PADSTOW HEIGHTS
12,HENRY KENDALL AVE,HENRY KENDALL AVENUE,26,30,2,1011,1,2211,PADSTOW HEIGHTS
13,CONNOLLY AVE,CONNOLLY AVENUE,2,32,2,1011,1,2211,PADSTOW HEIGHTS
14,COURTNEY RD,COURTNEY ROAD,89,107,1,1011,1,2211,PADSTOW
15,LANG ST,LANG STREET,65,79,1,1011,1,2211,PADSTOW
16,VIRGINIUS ST,VIRGINIUS STREET,105,107,1,1011,1,2211,PADSTOW
17,NEPTUNE ST,NEPTUNE STREET,1,4,0,1011,1,2211,PADSTOW
18,LANG ST,LANG STREET,98,114,2,1011,1,2211,PADSTOW
19,COURTNEY RD,COURTNEY ROAD,106,106,2,1011,1,2211,PADSTOW
20,COURTNEY RD,COURTNEY ROAD,104,104,2,1011,1,2211,PADSTOW
21,COURTNEY RD,COURTNEY ROAD,104,104,2,1011,1,2211,PADSTOW
22,COURTNEY RD,COURTNEY ROAD,77,87,1,1011,1,2211,PADSTOW
23,CONNOLLY AVE,CONNOLLY AVENUE,1,9,1,1011,1,2211,PADSTOW HEIGHTS
24,SUSAN AVE,SUSAN AVENUE,2,16,2,1011,1,2211,PADSTOW HEIGHTS
25,DILKE RD,DILKE ROAD,29,35,1,1011,1,2211,PADSTOW HEIGHTS
26,HALL CRES,HALL CRESCENT,15,21,1,1011,1,2211,PADSTOW
27,HALL CRES,HALL CRESCENT,16,20,2,1011,1,2211,PADSTOW
28,DILKE RD,DILKE ROAD,23,27,1,1011,1,2211,PADSTOW
29,CARLENE AVE,CARLENE AVENUE,1,4,0,1011,1,2211,PADSTOW
30,JANICE AVE,JANICE AVENUE,2,7,0,1011,1,2211,PADSTOW
31,CARLENE AVE,CARLENE AVENUE,5,15,0,1011,1,2211,PADSTOW
32,DILKE RD,DILKE ROAD,12,20,2,1011,1,2211,PADSTOW
33,HENRY LAWSON DR,HENRY LAWSON DRIVE,967,967,1,1011,1,2211,PADSTOW HEIGHTS
34,HALL CRES,HALL CRESCENT,2,14,2,1011,1,2211,PADSTOW
35,HENRY LAWSON DR,HENRY LAWSON DRIVE,969,979,1,1011,1,2211,PADSTOW
